name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
Dance The Night Away,Summer Nights,TWICE,2018-07-09,180809,54,0,1,0.711,0.106,0.861,4.4e-05,0.112,-2.905,0.0924,118.004,4,0.78
What is Love?,Summer Nights,TWICE,2018-07-09,208238,56,8,1,0.573,0.0846,0.91,0.0,0.266,-1.578,0.064,169.982,4,0.602
CHEER UP,WHAT'S TWICE?,TWICE,2017-02-24,208862,49,6,1,0.548,0.139,0.885,0.0,0.0716,-1.48,0.125,172.946,4,0.509
TT,TWICEcoaster : LANE2,TWICE,2017-02-21,212990,50,2,1,0.708,0.0525,0.853,0.000173,0.399,-4.398,0.0844,129.946,4,0.399
Heart Shaker,Merry & Happy,TWICE,2017-12-11,186895,51,8,1,0.563,0.0949,0.945,0.0,0.216,-0.387,0.0635,164.079,4,0.865
BDZ,BDZ,TWICE,2017-10-31,197800,55,10,0,0.715,0.0113,0.862,0.0,0.108,-2.718,0.0444,137.93,4,0.668
FANCY,FANCY YOU,TWICE,2019-04-22,213885,56,5,0,0.697,0.0122,0.874,0.0,0.627,-2.15,0.045,132.022,4,0.775
Feel Special,Feel Special,TWICE,2019-09-23,206868,58,1,1,0.709,0.0296,0.959,0.00188,0.107,-1.339,0.0603,128.983,4,0.644
Like OOH-AHH,THE STORY BEGINS,TWICE,2015,215091,49,6,1,0.72,0.241,0.876,0.000101,0.381,-1.166,0.0776,141.997,4,0.694
YES or YES,YES or YES,TWICE,2018-11-05,237685,55,11,1,0.702,0.0514,0.913,3.71e-06,0.166,-2.977,0.0374,137.982,4,0.735
MORE & MORE,MORE & MORE,TWICE,2020-06-01,199653,49,5,1,0.739,0.0312,0.841,0.0,0.173,-4.162,0.06,106.99,4,0.562
KNOCK KNOCK,TWICEcoaster : LANE2,TWICE,2017-02-21,195753,47,1,0,0.673,0.0242,0.968,0.0,0.0586,-2.636,0.131,129.972,4,0.476
I CAN'T STOP ME,Eyes wide open,TWICE,2020-10-26,205493,54,10,0,0.657,0.121,0.88,0.0,0.463,-3.672,0.102,150.084,4,0.769
Fanfare,Perfect World,TWICE,2021-07-28,220240,46,6,1,0.669,0.0302,0.956,9.78e-06,0.0764,-2.49,0.126,114.922,4,0.81
CRY FOR ME,CRY FOR ME,TWICE,2020-12-18,204167,48,10,1,0.702,0.0542,0.692,0.0,0.0877,-5.405,0.0539,144.896,4,0.419
The Feels,The Feels,TWICE,2021-10-01,198053,47,9,1,0.808,0.0899,0.903,0.0,0.0816,-2.179,0.0729,120.044,4,0.922
SCIENTIST,Formula of Love: O+T=<3,TWICE,2021-11-12,194600,47,11,1,0.786,0.0487,0.858,0.0,0.126,-3.74,0.0675,112.999,4,0.649
Perfect World,Perfect World,TWICE,2021-07-28,182680,55,3,0,0.684,0.0477,0.877,0.0,0.344,-2.322,0.0611,134.98,4,0.599
Kura Kura,Perfect World,TWICE,2021-07-28,227746,48,7,1,0.734,0.166,0.714,0.0,0.0648,-4.351,0.0986,130.999,4,0.761
Talk that Talk,BETWEEN 1&2,TWICE,2022-08-26,177466,56,3,0,0.774,0.143,0.905,0.0,0.332,-2.432,0.122,119.964,4,0.768
Celebrate,Celebrate,TWICE,2022-07-15,188433,54,7,1,0.776,0.0628,0.89,0.0,0.0634,-2.678,0.0573,111.998,4,0.864
Candy Pop,BDZ,TWICE,2017-10-31,202010,50,0,1,0.599,0.177,0.943,2.6e-05,0.141,-1.457,0.0894,174.059,4,0.84
SIGNAL,SIGNAL,TWICE,2017-05-15,196687,46,0,1,0.615,0.219,0.762,0.0,0.143,-2.746,0.331,207.811,4,0.636
POP!,IM NAYEON,NAYEON,2022-06-24,168106,57,2,1,0.793,0.0356,0.859,0.0,0.0343,-2.998,0.0544,97.001,4,0.392
MOONLIGHT SUNRISE,MOONLIGHT SUNRISE,TWICE,2023-01-20,180320,46,1,1,0.747,0.384,0.782,2.12e-06,0.0862,-3.255,0.0622,125.062,4,0.6
SET ME FREE,READY TO BE,TWICE,2023-03-10,181680,53,5,0,0.754,0.0897,0.831,0.0,0.0505,-2.536,0.157,113.019,4,0.707
Bouquet,Bouquet,MISAMO,2023-01-25,264389,51,5,1,0.611,0.139,0.594,0.0,0.114,-5.194,0.0295,91.014,4,0.431
Hare Hare,Hare Hare,TWICE,2023-05-12,203546,57,9,0,0.707,0.171,0.83,0.0,0.176,-5.331,0.0642,128.106,4,0.758
Do not touch,Do not touch,MISAMO,2023-07-14,185600,59,3,0,0.72,0.137,0.787,0.0,0.0418,-4.54,0.188,149.972,4,0.842
Marshmallow,Marshmallow,MISAMO,2023-06-16,182321,52,1,0,0.753,0.447,0.651,0.0,0.187,-6.546,0.0458,90.022,4,0.809
LIKEY,twicetagram,TWICE,2017-11-01,207824,49,4,0,0.723,0.431,0.898,0.00149,0.136,-1.081,0.0354,131.957,4,0.394
LOVE COUNTDOWN (feat. Wonstein),IM NAYEON,NAYEON,2022-06-24,197613,47,11,0,0.689,0.235,0.845,0.0,0.0588,-2.459,0.201,159.945,4,0.863
ONE SPARK,With YOU-th,TWICE,2024-02-23,183559,57,4,0,0.59,0.0139,0.772,0.0,0.693,-4.927,0.07,168.992,4,0.404
I GOT YOU,I GOT YOU (Voyage ver.),TWICE,2024-02-06,173240,50,8,1,0.523,0.0467,0.805,0.0,0.067,-3.734,0.0521,176.09,4,0.523
Alcohol-Free,Alcohol-Free,TWICE,2021-06-09,210573,46,8,1,0.688,0.0474,0.909,1.35e-06,0.0674,-1.992,0.0624,97.097,4,0.702
DIVE,DIVE,TWICE,2024-07-17,181860,58,1,1,0.796,0.146,0.702,0.0,0.119,-3.413,0.0377,114.992,4,0.893
Here I am,DIVE,TWICE,2024-07-17,170640,54,7,1,0.723,0.238,0.786,0.0,0.0428,-4.466,0.0729,93.528,4,0.667
NEW LOOK,NEW LOOK,MISAMO,2024-10-09,196680,73,2,1,0.516,0.177,0.83,2.26e-06,0.0921,-4.114,0.134,136.033,4,0.433
Identity,Identity,MISAMO,2024-10-28,140466,69,0,1,0.873,0.121,0.804,0.0,0.187,-2.648,0.0571,112.0,4,0.587
