"No","設置場所","市区町村","町目番地","経度","緯度","分類"
"241","ポートターミナル駅","神戸市中央区","新港町4","135.2020748","34.6814091","KOBE Free WiFi アクセスポイント"
"1","神戸市総合インフォメーションセンター","神戸市中央区","雲井通８丁目","135.195","34.6938687","KOBE Free WiFi アクセスポイント"
"2","神戸国際展示場","神戸市中央区","港島中町6-9-1","135.2130103","34.6662412","KOBE Free WiFi アクセスポイント"
"3","有馬温泉観光総合案内所","神戸市北区","有馬町790番地3","135.247704","34.797802","KOBE Free WiFi アクセスポイント"
"4","神戸空港海上アクセスターミナル","神戸市中央区","神戸空港１０","135.228854","34.639735","KOBE Free WiFi アクセスポイント"
"5","中突堤旅客ターミナル","神戸市中央区","波止場町5-6","135.18886","34.679702","KOBE Free WiFi アクセスポイント"
"6","神戸空港総合案内所","神戸市中央区","神戸空港1番","135.2287729","34.6367189","KOBE Free WiFi アクセスポイント"
"7","神戸ポートターミナル","神戸市中央区","新港町4-5","135.2029109","34.6804731","KOBE Free WiFi アクセスポイント"
"8","神戸どうぶつ王国","神戸市中央区","港島南町7-1-9","135.222976","34.6538645","KOBE Free WiFi アクセスポイント"
"9","神戸シティループバス","神戸市中央区","港島9-1","135.2253453","34.6604917","KOBE Free WiFi アクセスポイント"
"10","三宮バスターミナル","神戸市中央区","雲井通7丁目1-1","135.1960277","34.6944048","KOBE Free WiFi アクセスポイント"
"11","白鶴酒造資料館","神戸市東灘区","住吉南町4丁目5-5","135.2609613","34.7102704","KOBE Free WiFi アクセスポイント"
"12","さんセンタープラザ","神戸市中央区","三宮町1丁目9-1","135.1922504","34.6916911","KOBE Free WiFi アクセスポイント"
"13","神戸ハーバーランド総合インフォメーション","神戸市中央区","東川崎町1丁目3-3","135.1803072","34.6785841","KOBE Free WiFi アクセスポイント"
"14","六甲山ガイドハウス","神戸市灘区","六甲山町北六甲4512-92","135.2304068","34.7568399","KOBE Free WiFi アクセスポイント"
"15","神戸酒心館","神戸市東灘区","御影塚町1丁目8-17","135.2485122","34.7097593","KOBE Free WiFi アクセスポイント"
"16","コーナンハーバーランド店","神戸市中央区","弁天町1-3","135.183643","34.6819977","KOBE Free WiFi アクセスポイント"
"17","六甲ケーブル 山上駅","神戸市灘区","六甲山町一ヶ谷1-32","135.2374452","34.7519989","KOBE Free WiFi アクセスポイント"
"18","有馬の工房","神戸市北区","有馬町1019","135.2482654","34.7961942","KOBE Free WiFi アクセスポイント"
"19","有馬温泉 銀の湯","神戸市北区","有馬町1039-1","135.2490626","34.7954832","KOBE Free WiFi アクセスポイント"
"20","有馬温泉 金の湯","神戸市北区","有馬町833","135.2478682","34.7967858","KOBE Free WiFi アクセスポイント"
"21","神戸市客船誘致協議会","神戸市中央区","加納町6-5-1","135.194884","34.68968","KOBE Free WiFi アクセスポイント"
"22","北野工房のまち","神戸市中央区","中山手通3-17-1","135.1871479","34.6955683","KOBE Free WiFi アクセスポイント"
"23","神戸北野美術館","神戸市中央区","北野町2-9-6","135.1915168","34.7012539","KOBE Free WiFi アクセスポイント"
"24","KOBE BEEF　LENTAMENTE","神戸市中央区","三宮町1丁目6－28","135.193117","34.6913745","KOBE Free WiFi アクセスポイント"
"25","吉祥吉　三宮","神戸市中央区","三宮町1丁目9-1","135.1922504","34.6916911","KOBE Free WiFi アクセスポイント"
"26","神戸牛　29","神戸市中央区","三宮町1丁目9－1ー9","135.1922504","34.6916911","KOBE Free WiFi アクセスポイント"
"27","神戸牛らーめん　八坐和","神戸市中央区","三宮町２丁目11-1","135.1911671","34.6911162","KOBE Free WiFi アクセスポイント"
"28","神戸　たん龍　生田新道店","神戸市中央区","中山手通1丁目1－1","135.1923503","34.6940881","KOBE Free WiFi アクセスポイント"
"29","神戸牛　高倉","神戸市中央区","中山手通1丁目2－10","135.1919892","34.6940658","KOBE Free WiFi アクセスポイント"
"30","神戸牛　なみ木","神戸市中央区","中山手通１丁目４ー8","135.1916476","34.6938158","KOBE Free WiFi アクセスポイント"
"31","神戸牛   石窯焼 吉らら","神戸市中央区","中山手通1丁目4－7","135.1916726","34.6937714","KOBE Free WiFi アクセスポイント"
"32","神戸牛　八坐和　阪急三宮店","神戸市中央区","北長狭通1丁目6-1","135.1921059","34.6933131","KOBE Free WiFi アクセスポイント"
"33","神戸牛　喜山","神戸市中央区","北長狭通２丁目12－6","135.191206","34.6927826","KOBE Free WiFi アクセスポイント"
"34","神戸牛　煌寿 (コウジュ）","神戸市中央区","北長狭通２丁目12－6","135.191206","34.6927826","KOBE Free WiFi アクセスポイント"
"35","神戸牛吉祥吉　磯上","神戸市中央区","磯上通7丁目1-25","135.1974749","34.6922495","KOBE Free WiFi アクセスポイント"
"36","神戸牛　栄吉","神戸市中央区","栄町通1丁目3－10","135.1881786","34.6878998","KOBE Free WiFi アクセスポイント"
"37","KOBE BEEF　RED ONE","神戸市中央区","元町通1丁目10-4","135.1881147","34.6888219","KOBE Free WiFi アクセスポイント"
"38","神戸牛　本部","神戸市中央区","元町通1丁目10-4","135.1881147","34.6888219","KOBE Free WiFi アクセスポイント"
"39","神戸牛　黒澤","神戸市中央区","元町通1丁目6－20","135.1884619","34.6884553","KOBE Free WiFi アクセスポイント"
"40","吉祥吉　南京町","神戸市中央区","元町通2丁目1－14","135.1879481","34.6881192","KOBE Free WiFi アクセスポイント"
"41","吉祥吉　本店","神戸市中央区","元町通2丁目4－14","135.187137","34.6880442","KOBE Free WiFi アクセスポイント"
"42","神戸牛焼肉　八坐和","神戸市中央区","三宮町2丁目3-1","135.1918866","34.6899358","KOBE Free WiFi アクセスポイント"
"43","神戸牛みやび","神戸市中央区","三宮町2丁目8－3","135.1913144","34.6905051","KOBE Free WiFi アクセスポイント"
"44","神戸牛　源吉","神戸市中央区","中山手通1丁目4－23","135.1919114","34.6941436","KOBE Free WiFi アクセスポイント"
"45","吉祥吉　本部","神戸市中央区","栄町通1丁目2-1","135.189384","34.687978","KOBE Free WiFi アクセスポイント"
"46","神戸牛　大地","神戸市中央区","元町通1丁目1－3","135.1892424","34.6884137","KOBE Free WiFi アクセスポイント"
"47","神戸牛　八坐和　WEST","神戸市中央区","元町通３丁目2-１","135.1864704","34.6876804","KOBE Free WiFi アクセスポイント"
"48","神戸牛　天望(アマミ）","神戸市中央区","北長狭通1丁目5-8","135.192167","34.6936187","KOBE Free WiFi アクセスポイント"
"49","中突堤中央ビル","神戸市中央区","波止場町504","135.1880149","34.683792","KOBE Free WiFi アクセスポイント"
"50","かもめりあ","神戸市中央区","波止場町7-1","135.1850234","34.6825282","KOBE Free WiFi アクセスポイント"
"51","摩耶ケーブル　虹の駅","神戸市灘区","畑原","135.212607","34.727239","KOBE Free WiFi アクセスポイント"
"52","風見鶏の館","神戸市中央区","北野町3-13-3","135.1894753","34.7013955","KOBE Free WiFi アクセスポイント"
"53","摩耶ケーブル　星の駅","神戸市灘区","摩耶山町2-2","135.2059455","34.7336976","KOBE Free WiFi アクセスポイント"
"54","摩耶ケーブル下駅","神戸市灘区","箕岡通4-2","135.2165974","34.7200996","KOBE Free WiFi アクセスポイント"
"55","北野観光案内所","神戸市中央区","北野町3丁目10-20","135.1898475","34.701376","KOBE Free WiFi アクセスポイント"
"56","菊正宗酒造記念館","神戸市東灘区","魚崎西町1丁目9-1","135.2678885","34.7086123","KOBE Free WiFi アクセスポイント"
"57","CHEST　COQOO","神戸市中央区","栄町通1-2-10","135.188495","34.687716","KOBE Free WiFi アクセスポイント"
"58","GOLF MAP三宮","神戸市中央区","加納町4-10-20","135.1935529","34.6965017","KOBE Free WiFi アクセスポイント"
"59","やきとり りんぐ六甲道","神戸市灘区","永手町3-4-19","135.2392487","34.7165335","KOBE Free WiFi アクセスポイント"
"60","味加味","神戸市中央区","加納町2-5-9","135.1938222","34.7003818","KOBE Free WiFi アクセスポイント"
"61","とりひげ王子公園支店","神戸市灘区","倉石通6-1-17","135.2207194","34.7123173","KOBE Free WiFi アクセスポイント"
"62","ラーメンみなとや","神戸市中央区","中山手通1-2-13","135.1919809","34.6938686","KOBE Free WiFi アクセスポイント"
"63","CHEST神戸本店","神戸市中央区","明石町30","135.1912756","34.6878554","KOBE Free WiFi アクセスポイント"
"64","SPANISH BAR OSO","神戸市中央区","下山手通2-17-10","135.1899227","34.6942658","KOBE Free WiFi アクセスポイント"
"65","モトコーORANGE","神戸市中央区","元町高架通2-190","135.1807348","34.6852806","KOBE Free WiFi アクセスポイント"
"66","amcrowd","神戸市中央区","元町高架通2-195","135.183346","34.687594","KOBE Free WiFi アクセスポイント"
"67","KAJUの木","神戸市中央区","元町高架通2-200","135.183346","34.687594","KOBE Free WiFi アクセスポイント"
"68","NECROMANCE","神戸市中央区","元町高架通2-203","135.1807348","34.6852806","KOBE Free WiFi アクセスポイント"
"69","内海オート商会","神戸市中央区","元町高架通3-216","135.180382","34.6853889","KOBE Free WiFi アクセスポイント"
"70","淡路屋","神戸市中央区","元町高架通3番297号","135.180382","34.6853889","KOBE Free WiFi アクセスポイント"
"71","加川珍花園","神戸市中央区","元町通4-6-2","135.1807348","34.6852806","KOBE Free WiFi アクセスポイント"
"72","元町軒サンプラザ店","神戸市中央区","三宮町1-8-1","135.1932475","34.6922883","KOBE Free WiFi アクセスポイント"
"73","豚骨屋","神戸市中央区","北長狭通1-31-40","135.1913671","34.692516","KOBE Free WiFi アクセスポイント"
"74","風見鶏本舗","神戸市中央区","北野町3-5-5","135.1899059","34.7007344","KOBE Free WiFi アクセスポイント"
"75","六甲ケーブル下駅","神戸市灘区","高羽字西山8-2","135.2335679","34.737356","KOBE Free WiFi アクセスポイント"
"76","フクヤ 三宮店","神戸市中央区","三宮町1-5-29","135.1941613","34.6918772","KOBE Free WiFi アクセスポイント"
"77","フクヤ 東急プラザ新長田店","神戸市長田区","若松町5-5-1","135.1446242","34.6564939","KOBE Free WiFi アクセスポイント"
"78","やきとり りんぐ新在家","神戸市灘区","新在家北町1-2-15","135.2401183","34.7104676","KOBE Free WiFi アクセスポイント"
"79","神戸市立中央図書館","神戸市中央区","楠町7-2-1","135.1741492","34.6856249","KOBE Free WiFi アクセスポイント"
"80","フクヤ 垂水店","神戸市垂水区","日向町1-4-1","135.0557383","34.6304795","KOBE Free WiFi アクセスポイント"
"81","神戸国際会議場","神戸市中央区","港島中町6-9-1","135.2130103","34.6662412","KOBE Free WiFi アクセスポイント"
"82","グリルド神戸","神戸市中央区","北長狭通2-5-1","135.1902117","34.6918077","KOBE Free WiFi アクセスポイント"
"83","三宮プラッツ","神戸市中央区","三宮1丁目1番","135.1941697","34.690894","KOBE Free WiFi アクセスポイント"
"84","フェリーさんふらわあ","神戸市東灘区","向洋町東3丁目1-1","135.2824401","34.6970634","KOBE Free WiFi アクセスポイント"
"85","タナゴコロータス","神戸市中央区","栄町通2-1-3","135.188062","34.6868194","KOBE Free WiFi アクセスポイント"
"86","神姫バス株式会社","神戸市中央区","琴ノ緒町4","135.1949611","34.6970211","KOBE Free WiFi アクセスポイント"
"87","鯰学舎","神戸市中央区","神戸港地方再度谷118","135.1769374","34.7139745","KOBE Free WiFi アクセスポイント"
"88","神戸炭火焼鳥まさとや岩屋店","神戸市東灘区","岩屋北町5丁目1-8-101","135.2824401","34.6970634","KOBE Free WiFi アクセスポイント"
"89","神戸炭火焼鳥まさとや住吉本館","神戸市東灘区","住吉宮町4丁目3-13-105","135.262047","34.718875","KOBE Free WiFi アクセスポイント"
"90","神戸炭火焼鳥まさとや新在家店","神戸市灘区","新在家北町1-18","135.2405488","34.7102843","KOBE Free WiFi アクセスポイント"
"91","エネオスドクタードライブ（三宮店）","神戸市中央区","雲井通3丁目1-7","135.199644","34.6956991","KOBE Free WiFi アクセスポイント"
"92","こあみなか本店","神戸市灘区","高徳町5-1-3","135.24046","34.7187","KOBE Free WiFi アクセスポイント"
"93","神戸医薬研究所","神戸市東灘区","住吉本町2-19-29","135.259942","34.721677","KOBE Free WiFi アクセスポイント"
"94","大丸神戸店","神戸市中央区","明石町40","135.1904506","34.6886775","KOBE Free WiFi アクセスポイント"
"95","三宮中央図書館","神戸市中央区","雲井通5-1-2","135.1973998","34.694927","KOBE Free WiFi アクセスポイント"
"96","神戸スカイアドベンチャーすずらん","神戸市北区","山田町小部妙賀山11-1","135.1592021","34.7349081","KOBE Free WiFi アクセスポイント"
"97","カフェHALU HALU","神戸市長田区","水笠通3-1-1","135.1430797","34.6600574","KOBE Free WiFi アクセスポイント"
"98","沢の鶴資料館","神戸市灘区","大石南町１-29-1","135.2331411","34.7032768","KOBE Free WiFi アクセスポイント"
"99","神戸トリックアート不思議な領事館","神戸市中央区","北野町2-10-7","135.1908613","34.700915","KOBE Free WiFi アクセスポイント"
"100","坂の上の異人館","神戸市中央区","北野町2-18-2","135.1915001","34.7031342","KOBE Free WiFi アクセスポイント"
"101","北野外国人倶楽部","神戸市中央区","北野町2-18-2","135.1915001","34.7031342","KOBE Free WiFi アクセスポイント"
"102","うろこの家","神戸市中央区","北野町2-20-4","135.1906668","34.7029592","KOBE Free WiFi アクセスポイント"
"103","山手八番館","神戸市中央区","北野町2-20-7","135.1906224","34.702787","KOBE Free WiFi アクセスポイント"
"104","英国館","神戸市中央区","北野町2-3-16","135.1911974","34.7007428","KOBE Free WiFi アクセスポイント"
"105","仏蘭西館","神戸市中央区","北野町2-3-18","135.1913918","34.7008622","KOBE Free WiFi アクセスポイント"
"106","ベンの家","神戸市中央区","北野町2-3-21","135.1915335","34.7009289","KOBE Free WiFi アクセスポイント"
"107","神戸ファッション美術館","神戸市東灘区","向洋町中2-9-1","135.270184","34.688027","KOBE Free WiFi アクセスポイント"
"108","天覧台・TENRAN CAF?","神戸市灘区","六甲山町一ケ谷1-32","135.2368845","34.751943","KOBE Free WiFi アクセスポイント"
"109","六甲高山植物園","神戸市灘区","六甲山町北六甲4512?150","135.2405025","34.761861","KOBE Free WiFi アクセスポイント"
"110","六甲オルゴールミュージアム","神戸市灘区","六甲山町北六甲4512-145","135.238392","34.761672","KOBE Free WiFi アクセスポイント"
"111","六甲山カンツリーハウス","神戸市灘区","六甲山町北六甲4512-98","135.2422755","34.766667","KOBE Free WiFi アクセスポイント"
"112","六甲ガーデンテラス（１）","神戸市灘区","六甲山町五介山1877-9","135.247734","34.764418","KOBE Free WiFi アクセスポイント"
"113","六甲ガーデンテラス（２）","神戸市灘区","六甲山町五介山1877-9","135.246608","34.763299","KOBE Free WiFi アクセスポイント"
"114","自然体感展望台 六甲枝垂れ","神戸市灘区","六甲山町五介山1877-9","135.246531","34.764367","KOBE Free WiFi アクセスポイント"
"115","神戸市立須磨水族園","神戸市須磨区","若宮町1-3-5","135.127673","34.643978","KOBE Free WiFi アクセスポイント"
"116","FREE‘S　nail","神戸市中央区","下山手通2-12-6","135.1895006","34.6932298","KOBE Free WiFi アクセスポイント"
"117","神戸三宮高架商店街（ピアザKOBE１-1）","神戸市中央区","北長狭通","135.19184","34.692198","KOBE Free WiFi アクセスポイント"
"118","神戸三宮高架商店街（ピアザKOBE１-2）","神戸市中央区","北長狭通","135.192134","34.692369","KOBE Free WiFi アクセスポイント"
"119","神戸三宮高架商店街（ピアザKOBE１-3）","神戸市中央区","北長狭通","135.192386","34.692523","KOBE Free WiFi アクセスポイント"
"120","神戸三宮高架商店街（ピアザKOBE２-1）","神戸市中央区","北長狭通","135.190188","34.691215","KOBE Free WiFi アクセスポイント"
"121","神戸三宮高架商店街（ピアザKOBE２-2）","神戸市中央区","北長狭通","135.190442","34.691368","KOBE Free WiFi アクセスポイント"
